25.06,80.51,-0.01,24.54,80.8,-0.04,64.36,-1.22,0.01,28.84,78.62,0.01,28.82,77.9,-0.01,0,0,0
15.07,87.8,-0.06,33.97,-32.18,-0.06,1.96,-8.07,-0.01,13.83,89.01,-0.04,13.37,87.59,-0.02,0,0,0
12.57,89.26,0.01,67.98,-38.96,0.08,33.95,-15.48,0.16,11.99,91.04,0.08,12.68,87.66,0.09,0,0,0
14.15,84.1,0.04,3.59,-8.36,0,105.48,-1.97,-0.03,15.92,84.28,0.06,16.6,80.22,0.07,0,0,0
16.46,82.86,0,5.66,96.39,-0.01,83.95,-6.42,-0.02,16.12,86.02,0,14.01,85.17,0.01,0,0,0
10.39,91.32,-0.02,8.53,93.54,0,89.95,-9.39,-0.03,11.02,92.24,-0.04,11.73,91.48,-0.04,0,0,0
12.29,88.86,-0.01,2.44,103.8,-0.02,103.1,-2.78,-0.01,12.57,90.67,-0.01,12.68,90.25,-0.01,0,0,0
9.95,89.73,-0.02,-0.75,108.17,0,89.89,-6.74,0,15.53,89.3,-0.07,13.02,88.16,-0.05,0,0,0
10.56,91.43,-0.01,0.47,95.52,-0.03,106.74,-1.1,0,10.34,90.51,-0.02,9.97,86.66,-0.01,0,0,0
8.97,90.53,-0.01,-1.87,95.44,-0.02,32.83,-29.95,-0.06,8.7,93.02,-0.04,10.61,91.02,-0.02,0,0,0
9.2,91.7,0,-0.67,97.39,0,80.25,-1.07,0,9.66,91.36,-0.01,8.9,90.87,-0.03,0,0,0
9.12,92.08,-0.02,1.11,99.77,0,78.26,-0.13,0.02,9.59,93.39,-0.01,8.62,93.83,-0.02,0,0,0
8.68,90.63,0,2.83,96.82,0.02,0.24,-30.64,0,7.98,93.38,-0.01,8.74,93.49,0,0,0,0
9.9,89.17,-0.01,2.45,95.88,-0.01,35.3,-70.08,0,7.95,88.63,0.01,8.49,91.44,0.01,0,0,0
8.37,91.33,0.01,0.07,97.45,0.02,102.85,-7,-0.02,8.58,92.76,0.03,7.9,91.82,0.03,0,0,0
9.51,89.53,0.04,7.12,96.9,0.19,1.86,87.17,1.29,12.32,94.01,0.21,14.86,92.66,0.26,0,0,0
